Month,Ireland,price2,price3,price4,price5,price6
2015-06-01 00:00:00,28.16,28.75,30.79,30.01,31.95,31.47
2015-07-01 00:00:00,27.1,28.16,28.75,30.79,30.01,31.95
2015-08-01 00:00:00,27.97,27.1,28.16,28.75,30.79,30.01
2015-09-01 00:00:00,29.23,27.97,27.1,28.16,28.75,30.79
2015-10-01 00:00:00,31.08,29.23,27.97,27.1,28.16,28.75
2015-11-01 00:00:00,30.98,31.08,29.23,27.97,27.1,28.16
2015-12-01 00:00:00,29.43,30.98,31.08,29.23,27.97,27.1
2016-01-01 00:00:00,28.26,29.43,30.98,31.08,29.23,27.97
2016-02-01 00:00:00,27.58,28.26,29.43,30.98,31.08,29.23
2016-03-01 00:00:00,24.18,27.58,28.26,29.43,30.98,31.08
2016-04-01 00:00:00,24.08,24.18,27.58,28.26,29.43,30.98
2016-05-01 00:00:00,23.99,24.08,24.18,27.58,28.26,29.43
2016-06-01 00:00:00,23.5,23.99,24.08,24.18,27.58,28.26
2016-07-01 00:00:00,24.47,23.5,23.99,24.08,24.18,27.58
2016-08-01 00:00:00,27.0,24.47,23.5,23.99,24.08,24.18
2016-09-01 00:00:00,29.91,27.0,24.47,23.5,23.99,24.08
2016-10-01 00:00:00,32.83,29.91,27.0,24.47,23.5,23.99
2016-11-01 00:00:00,36.32,32.83,29.91,27.0,24.47,23.5
2016-12-01 00:00:00,35.06,36.32,32.83,29.91,27.0,24.47
2017-01-01 00:00:00,35.45,35.06,36.32,32.83,29.91,27.0
2017-02-01 00:00:00,34.18,35.45,35.06,36.32,32.83,29.91
2017-03-01 00:00:00,31.66,34.18,35.45,35.06,36.32,32.83
2017-04-01 00:00:00,31.66,31.66,34.18,35.45,35.06,36.32
2017-05-01 00:00:00,32.63,31.66,31.66,34.18,35.45,35.06
2017-06-01 00:00:00,33.6,32.63,31.66,31.66,34.18,35.45
2017-07-01 00:00:00,34.96,33.6,32.63,31.66,31.66,34.18
2017-08-01 00:00:00,37.68,34.96,33.6,32.63,31.66,31.66
2017-09-01 00:00:00,40.79,37.68,34.96,33.6,32.63,31.66
2017-10-01 00:00:00,41.95,40.79,37.68,34.96,33.6,32.63
2017-11-01 00:00:00,41.86,41.95,40.79,37.68,34.96,33.6
2017-12-01 00:00:00,40.59,41.86,41.95,40.79,37.68,34.96
2018-01-01 00:00:00,39.43,40.59,41.86,41.95,40.79,37.68
2018-02-01 00:00:00,37.0,39.43,40.59,41.86,41.95,40.79
2018-03-01 00:00:00,33.31,37.0,39.43,40.59,41.86,41.95
2018-04-01 00:00:00,31.08,33.31,37.0,39.43,40.59,41.86
2018-05-01 00:00:00,31.17,31.08,33.31,37.0,39.43,40.59
2018-06-01 00:00:00,31.66,31.17,31.08,33.31,37.0,39.43
2018-07-01 00:00:00,31.76,31.66,31.17,31.08,33.31,37.0
2018-08-01 00:00:00,33.41,31.76,31.66,31.17,31.08,33.31
2018-09-01 00:00:00,37.0,33.41,31.76,31.66,31.17,31.08
2018-10-01 00:00:00,38.75,37.0,33.41,31.76,31.66,31.17
2018-11-01 00:00:00,39.04,38.75,37.0,33.41,31.76,31.66
2018-12-01 00:00:00,36.9,39.04,38.75,37.0,33.41,31.76
2019-01-01 00:00:00,34.28,36.9,39.04,38.75,37.0,33.41
2019-02-01 00:00:00,34.38,34.28,36.9,39.04,38.75,37.0
2019-03-01 00:00:00,32.63,34.38,34.28,36.9,39.04,38.75
2019-04-01 00:00:00,31.66,32.63,34.38,34.28,36.9,39.04
2019-05-01 00:00:00,31.47,31.66,32.63,34.38,34.28,36.9
2019-06-01 00:00:00,31.95,31.47,31.66,32.63,34.38,34.28
2019-07-01 00:00:00,31.08,31.95,31.47,31.66,32.63,34.38
2019-08-01 00:00:00,31.95,31.08,31.95,31.47,31.66,32.63
2019-09-01 00:00:00,34.48,31.95,31.08,31.95,31.47,31.66
