,Entity,Year,Bottom Trawl (Tonnes)
0,Albania,1950,888.5978522290001
1,Albania,1951,977.457637482
2,Albania,1952,1244.036992541
3,Albania,1953,1510.616348499
4,Albania,1954,1421.756563447
5,Albania,1955,1510.616348499
6,Albania,1956,1510.616348499
7,Albania,1957,1599.476133452
8,Albania,1958,1510.616348499
9,Albania,1959,1599.476133452
10,Albania,1960,1510.616348499
11,Albania,1961,1866.0554894110005
12,Albania,1962,1599.476133452
13,Albania,1963,1777.195704358
14,Albania,1964,1777.195704358
15,Albania,1965,2310.354416176
16,Albania,1966,2310.354416176
17,Albania,1967,3545.840048546
18,Albania,1968,4297.987938116
19,Albania,1969,4942.686128033
20,Albania,1970,5694.834017603
21,Albania,1971,5694.834017603
22,Albania,1972,5694.834017603
23,Albania,1973,5694.834017603
24,Albania,1974,5909.73341491
25,Albania,1975,5909.73341491
26,Albania,1976,5907.584420716001
27,Albania,1977,5898.988444945
28,Albania,1978,6436.236936207999
29,Albania,1979,6393.257057347
30,Albania,1980,6339.5322085220005
31,Albania,1981,6600.634975478
32,Albania,1982,6028.408073146001
33,Albania,1983,6299.0164632940005
34,Albania,1984,4661.592223008
35,Albania,1985,7887.581899648001
36,Albania,1986,7429.188233597
37,Albania,1987,8525.442026162002
38,Albania,1988,8407.982880210999
39,Albania,1989,7310.356185819999
40,Albania,1990,8433.448404817
41,Albania,1991,2254.739078596
42,Albania,1992,1662.305159686
43,Albania,1993,1612.404933246
44,Albania,1994,1422.3770453100003
45,Albania,1995,1120.046417288
46,Albania,1996,1804.863540763
47,Albania,1997,810.6480066920001
48,Albania,1998,1897.429173844
49,Albania,1999,1972.599432291
50,Albania,2000,2466.300773967
51,Albania,2001,1868.338502917
52,Albania,2002,2510.198353645
53,Albania,2003,1470.981116872
54,Albania,2004,2780.0330812110005
55,Albania,2005,2902.1985691879995
56,Albania,2006,3409.514003881
57,Albania,2007,3034.022649624
58,Albania,2008,3513.373603548
59,Albania,2009,3859.144077192
60,Albania,2010,3234.17296135
61,Albania,2011,3144.624904748
62,Albania,2012,7423.873290725
63,Albania,2013,7730.895199104001
64,Albania,2014,6170.716891794
65,Albania,2015,5982.433653226
66,Albania,2016,5501.660085603
67,Albania,2017,5457.845746255
68,Albania,2018,6556.756750529999
69,Algeria,1950,17027.023628534997
70,Algeria,1951,14679.920272536
71,Algeria,1952,17722.837049477
72,Algeria,1953,14766.055445921
73,Algeria,1954,14045.716474887
74,Algeria,1955,16975.108180592
75,Algeria,1956,15843.292179556
76,Algeria,1957,15176.78860146
77,Algeria,1958,14636.910078679
78,Algeria,1959,15933.568311868
79,Algeria,1960,16969.7975902
80,Algeria,1961,18885.764002957
81,Algeria,1962,11420.125173344
82,Algeria,1963,9318.449108333
83,Algeria,1964,9009.428259380998
84,Algeria,1965,9721.466597002
85,Algeria,1966,11176.903205276
86,Algeria,1967,11559.901350645
87,Algeria,1968,10237.343393714
88,Algeria,1969,12362.940048283002
89,Algeria,1970,14991.820843535002
90,Algeria,1971,14608.635021737004
91,Algeria,1972,16554.238307759
92,Algeria,1973,20690.415719371
93,Algeria,1974,22569.625203309
94,Algeria,1975,21575.337710381
95,Algeria,1976,22648.093957463003
96,Algeria,1977,26281.12697263
97,Algeria,1978,22450.935591767
98,Algeria,1979,24758.025882592
99,Algeria,1980,29236.728694006
100,Algeria,1981,33100.173562443
101,Algeria,1982,37376.086556966
102,Algeria,1983,37988.431565943
103,Algeria,1984,38550.373253921
104,Algeria,1985,39213.036139839
105,Algeria,1986,34806.352150876
106,Algeria,1987,44134.534350867
107,Algeria,1988,48238.377355985
108,Algeria,1989,50803.531147633
109,Algeria,1990,46893.152392388
110,Algeria,1991,42615.215146598
111,Algeria,1992,47346.183461807
112,Algeria,1993,49212.174813746
113,Algeria,1994,61096.746713341
114,Algeria,1995,47643.59079315701
115,Algeria,1996,43041.869237884
116,Algeria,1997,47911.394402534
117,Algeria,1998,50551.471515786994
118,Algeria,1999,54737.426652023
119,Algeria,2000,62462.16206008999
120,Algeria,2001,67996.335223296
121,Algeria,2002,66703.10016622698
122,Algeria,2003,67331.673161041
123,Algeria,2004,56952.56285486299
124,Algeria,2005,62704.555472118
125,Algeria,2006,69563.68036789399
126,Algeria,2007,69643.529339891
127,Algeria,2008,68150.72331179101
128,Algeria,2009,64332.079448535
129,Algeria,2010,55090.313065237
130,Algeria,2011,49036.35967495001
131,Algeria,2012,49060.383800744
132,Algeria,2013,46889.14181267
133,Algeria,2014,45243.413457775
134,Algeria,2015,44175.051143702
135,Algeria,2016,43033.115053599
136,Algeria,2017,45120.716013445
137,Algeria,2018,49414.47340153501
138,Angola,1950,80853.80321890001
139,Angola,1951,124759.440528
140,Angola,1952,115222.787614
141,Angola,1953,185395.0672382
142,Angola,1954,210838.1889955
143,Angola,1955,258374.780395
144,Angola,1956,230229.015105
145,Angola,1957,126043.7175554
146,Angola,1958,153813.68173187107
147,Angola,1959,198834.63951311403
148,Angola,1960,180369.931550176
149,Angola,1961,180693.704106534
150,Angola,1962,174567.57084147303
151,Angola,1963,133802.308090656
152,Angola,1964,219735.498254771
153,Angola,1965,186756.09709171
154,Angola,1966,249051.89194782
155,Angola,1967,228348.21909345
156,Angola,1968,189609.98886207005
157,Angola,1969,143692.05300697798
158,Angola,1970,215889.6338977
159,Angola,1971,192595.19473879
160,Angola,1972,336942.20169481
161,Angola,1973,229493.11583043
162,Angola,1974,177622.49385301003
163,Angola,1975,130255.76775489
164,Angola,1976,59889.134921763005
165,Angola,1977,68611.995756605
166,Angola,1978,76651.29240252802
167,Angola,1979,92824.26396658496
168,Angola,1980,66232.020240693
169,Angola,1981,86273.257125102
170,Angola,1982,90185.97327273
171,Angola,1983,127463.86520782
172,Angola,1984,84511.89449298
173,Angola,1985,67314.09382489999
174,Angola,1986,62862.51534669499
175,Angola,1987,102494.705812635
176,Angola,1988,103664.370086606
177,Angola,1989,121753.6640144
178,Angola,1990,132206.90076132998
179,Angola,1991,103017.863640538
180,Angola,1992,105890.028092128
181,Angola,1993,120078.938909876
182,Angola,1994,115307.869652279
183,Angola,1995,92837.40163787798
184,Angola,1996,123786.137552566
185,Angola,1997,124589.859468801
186,Angola,1998,136515.06890421
187,Angola,1999,141957.98749325
188,Angola,2000,120135.209345604
189,Angola,2001,172786.159807668
190,Angola,2002,134631.90541941102
191,Angola,2003,108001.754235951
192,Angola,2004,119259.21691418598
193,Angola,2005,152787.97252711997
194,Angola,2006,170636.73695358002
195,Angola,2007,193969.71182734
196,Angola,2008,189887.27295768
197,Angola,2009,160929.19205706002
198,Angola,2010,145616.37074466003
199,Angola,2011,173905.784831268
200,Angola,2012,184452.535350748
201,Angola,2013,192965.065386068
202,Angola,2014,209100.03393409
203,Angola,2015,142453.182465818
204,Angola,2016,203134.248600184
205,Angola,2017,196859.480553644
206,Angola,2018,153513.379373774
207,Argentina,1950,16582.5
208,Argentina,1951,35312.100000000006
209,Argentina,1952,44412.600000000006
210,Argentina,1953,50604.3
211,Argentina,1954,52804.98
212,Argentina,1955,50445.54
213,Argentina,1956,41055.54
214,Argentina,1957,43789.26
215,Argentina,1958,44574.240000000005
216,Argentina,1959,62709.780000000006
217,Argentina,1960,64986.66
218,Argentina,1961,61393.2
219,Argentina,1962,66863.22
220,Argentina,1963,92720.28
221,Argentina,1964,124039.74000000002
222,Argentina,1965,134231.04000000004
223,Argentina,1966,119875.92
224,Argentina,1967,132480.18699999995
225,Argentina,1968,245926.084
226,Argentina,1969,179076.12900000002
227,Argentina,1970,156635.38321422
228,Argentina,1971,165258.53635936003
229,Argentina,1972,184513.6262072
230,Argentina,1973,270866.12395796005
231,Argentina,1974,289934.66369970003
232,Argentina,1975,195107.43647948
233,Argentina,1976,313260.37564463995
234,Argentina,1977,503325.83452544
235,Argentina,1978,635488.6440229998
236,Argentina,1979,681378.1112212001
237,Argentina,1980,510751.67129026
238,Argentina,1981,430173.23522422
239,Argentina,1982,530784.9987286999
240,Argentina,1983,463744.7957658
241,Argentina,1984,328978.2552823
242,Argentina,1985,470271.41973588
243,Argentina,1986,444456.28110106
244,Argentina,1987,499620.63328176
