, Belgium, Bulgaria, Czech Rep., Denmark, Germany, Estonia, Ireland, Greece, Spain, France, Croatia, Italy, Cyprus, Latvia, Lihtuania, Luxembourg, Hungary, Malta, Netherlands, Austria, Poland, Portugal, Romania, Slovenia, Slovakia, Finland, Sweden,
1977m01,18.57,,,19.85,20.33,,14.62,,19.35,16.76,,23.11,,,,17.98,,,19.69,,,,,,,,,Jan-77
1977m02,18.13,,,19.67,20.07,,15.05,,19.3,16.55,,23.92,,,,17.79,,,19.23,,,,,,,,,Feb-77
1977m03,16.79,,,19.78,19.86,,14.12,,19.41,16.34,,23.74,,,,17.67,,,18.98,,,,,,,,,Mar-77
1977m04,16.95,,,19.62,19.89,,14.19,,19.86,15.97,,23.61,,,,17.29,,,19.23,,,,,,,,,Apr-77
1977m05,17.32,,,20.05,19.83,,14.61,,19.79,15.15,,23.55,,,,17.22,,,19.57,,,,,,,,,May-77
1977m06,17.18,,,19.63,19.59,,15.03,,19.79,15.1,,23.42,,,,16.62,,,19.31,,,,,,,,,Jun-77
1977m07,16.76,,,19.7,19.92,,15.01,,16.63,15.07,,22.75,,,,16.59,,,19.27,,,,,,,,,Jul-77
1977m08,17.24,,,20.18,20.29,,15.44,,16.85,15.17,,22.55,,,,16.94,,,19.67,,,,,,,,,Aug-77
1977m09,17.88,,,20.48,20.72,,16.53,,16.68,15.81,,22.62,,,,17.28,,,20.2,,,,,,,,,Sep-77
1977m10,18.9,,,21.25,21.18,,17.3,,16.97,16.83,,22.33,,,,17.66,,,21.29,,,,,,,,,Oct-77
1977m11,20.03,,,20.99,21.63,,18.7,,17.25,17.41,,22.07,,,,17.75,,,21.75,,,,,,,,,Nov-77
1977m12,20.01,,,21.03,21.92,,18.44,,17.06,17.46,,21.31,,,,18.04,,,21.71,,,,,,,,,Dec-77
1978m01,19.64,,,21.06,21.05,,18.31,,16.9,17.29,,21.32,,,,17.91,,,20.8,,,,,,,,,Jan-78
1978m02,19.82,,,21.27,21.19,,17.15,,16.48,16.75,,21.52,,,,18.17,,,20.46,,,,,,,,,Feb-78
1978m03,18.86,,,21.25,21.08,,15.74,,16.36,16.88,,21.4,,,,17.95,,,20.35,,,,,,,,,Mar-78
1978m04,17.92,,,21.08,20.84,,14.68,,16.6,16.99,,21.24,,,,16.96,,,20.76,,,,,,,,,Apr-78
1978m05,17.69,,,21.4,20.8,,15.27,,17.04,16.04,,21.75,,,,17.01,,,19.87,,,,,,,,,May-78
1978m06,17.84,,,21.38,20.56,,15.82,,17.41,16.22,,21.8,,,,16.75,,,19.91,,,,,,,,,Jun-78
1978m07,17.68,,,21.27,20.82,,16.38,,17.41,16.36,,21.84,,,,15.85,,,19.45,,,,,,,,,Jul-78
1978m08,17.73,,,20.74,21.14,,16.76,,17.63,16.76,,21.72,,,,16.71,,,19.69,,,,,,,,,Aug-78
1978m09,18.59,,,21.53,22.11,,17.59,,18.43,17.29,,22.01,,,,17.29,,,20.53,,,,,,,,,Sep-78
1978m10,19.98,,,22.16,22.93,,17.9,,18.88,18.16,,21.88,,,,18.95,,,21.78,,,,,,,,,Oct-78
1978m11,21.16,,,22.24,23.22,,19.15,,19.35,18.88,,21.66,,,,20.92,,,21.88,,,,,,,,,Nov-78
1978m12,21.29,,,22.11,23.2,,19.63,,19.33,19.36,,21.59,,,,19.08,,,21.61,,,,,,,,,Dec-78
1979m01,20.94,,,22.26,22.57,,18.75,,19.35,19.52,,22.21,,,,19.13,,,21.38,,,,,,,,,Jan-79
1979m02,20.57,,,22.13,22.32,,17.82,,19.8,18.99,,22.45,,,,19.01,,,21.27,,,,,,,,,Feb-79
1979m03,19.33,,,21.94,22.05,,17.27,,19.63,18.66,,22.62,,,,18.83,,,20.95,,,,,,,,,Mar-79
1979m04,17.79,,,21.7,21.62,,16.49,,20.33,18.38,,22.8,,,,18.69,,,20.3,,,,,,,,,Apr-79
1979m05,17.75,,,21.18,21.56,,16.24,,21.16,17.24,,23.01,,,,18.79,,,20.1,,,,,,,,,May-79
1979m06,17.56,,,20.51,21.24,,16.16,,21.23,16.95,,22.92,,,,17.97,,,19.83,,,,,,,,,Jun-79
1979m07,17.48,,,20.34,21.34,,16.23,,20.43,16.75,,22.93,,,,17.98,,,19.62,,,,,,,,,Jul-79
1979m08,17.73,,,20.57,21.66,,16.62,,21.16,17.29,,23.1,,,,18.09,,,19.88,,,,,,,,,Aug-79
1979m09,18.57,,,21.36,22.5,,17.39,,21.03,18.11,,23.53,,,,18.49,,,20.65,,,,,,,,,Sep-79
1979m10,19.92,,,21.97,23.18,,18.3,,20.78,19.32,,23.65,,,,19.53,,,21.54,,,,,,,,,Oct-79
1979m11,21.33,,,21.91,23.72,,19.29,,20.65,20.11,,23.54,,,,19.74,,,22.07,,,,,,,,,Nov-79
1979m12,20.72,,,20.96,23.69,,19.06,,20.49,20.67,,23.49,,,,19.36,,,22.15,,,,,,,,,Dec-79
1980m01,20.33,,,21.75,22.88,,18.31,19,20.91,20.47,,24.12,,,,19.26,,,22.13,,,,,,,,,Jan-80
1980m02,19.77,,,21.92,22.44,,17.37,18.94,21.1,20.5,,24.5,,,,18.99,,,21.85,,,,,,,,,Feb-80
1980m03,18.76,,,22.09,22.04,,16.29,19.3,21.68,20.27,,24.61,,,,18.94,,,21.56,,,,,,,,,Mar-80
1980m04,17.7,,,21.78,21.61,,15.67,17.63,21,19.53,,24.69,,,,19.07,,,21.19,,,,,,,,,Apr-80
1980m05,17.8,,,21.53,21.55,,15.57,16.76,20.54,18.37,,24.33,,,,18.88,,,20.89,,,,,,,,,May-80
1980m06,18.18,,,21.64,21.13,,15.78,16.46,20.58,18.25,,24.2,,,,18.88,,,20.64,,,,,,,,,Jun-80
1980m07,18.37,,,22.07,21.5,,16.1,16.38,20.16,18.51,,24.39,,,,19.08,,,20.85,,,,,,,,,Jul-80
1980m08,18.2,,,22.12,21.61,,16.46,16.6,19.98,18.94,,24.46,,,,18.72,,,20.99,,,,,,,,,Aug-80
1980m09,18.84,,,22.6,22.3,,17.55,16.78,19.62,19.66,,24.46,,,,19.27,,,21.64,,,,,,,,,Sep-80
1980m10,20.1,,,22.68,22.68,,18.58,17.97,19.99,20.82,,24.35,,,,19.53,,,22.41,,,,,,,,,Oct-80
1980m11,21.25,,,22.61,22.94,,19.69,18.03,20.63,21.35,,24.41,,,,21.27,,,22.67,,,,,,,,,Nov-80
1980m12,20.84,,,22.52,22.77,,19.93,19.58,20.91,21.79,,24.39,,,,19.35,,,22.18,,,,,,,,,Dec-80
1981m01,20.2,,,22.29,21.87,,19.48,19.56,21.1,21.64,,24.62,,,,19.31,,,21.83,,,,,,,,,Jan-81
1981m02,19.82,,,22.33,21.65,,17.94,20.2,21.25,21.3,,25.45,,,,19.05,,,21.55,,,,,,,,,Feb-81
1981m03,18.58,,,22.79,21.17,,16.94,20.92,21.44,21.05,,25.5,,,,18.86,,,21.61,,,,,,,,,Mar-81
1981m04,19.21,,,23.04,21.5,,17.27,22.15,21.42,20.05,,25.14,,,,18.84,,,21.89,,,,,,,,,Apr-81
1981m05,19.34,,,23.42,21.47,,17.45,22.86,21.9,19.47,,25.07,,,,18.77,,,22.1,,,,,,,,,May-81
1981m06,19.12,,,23.88,21.49,,17.72,23.05,22.2,19.35,,25.94,,,,18.57,,,21.95,,,,,,,,,Jun-81
1981m07,19.16,,,24.03,21.9,,17.82,23.17,22.11,19.56,,26.04,,,,18.64,,,21.91,,,,,,,,,Jul-81
1981m08,18.98,,,24.14,22.47,,18.19,23.27,22.14,20.17,,26.37,,,,18.75,,,22.54,,,,,,,,,Aug-81
1981m09,20.29,,,25.47,23.46,,20.14,23.59,21.91,21.32,,26.8,,,,19.31,,,23.84,,,,,,,,,Sep-81
1981m10,22.54,,,25.77,24.7,,21.27,23.52,22.19,21.75,,26.56,,,,21.01,,,25.79,,,,,,,,,Oct-81
1981m11,23.28,,,25.8,25,,22.77,23.86,22.55,22.89,,26.32,,,,22.23,,,26.12,,,,,,,,,Nov-81
1981m12,22.62,,,25.59,24.83,,22.92,23.82,22.62,23.37,,26.43,,,,20.39,,,26.11,,,,,,,,,Dec-81
1982m01,22.16,,,25.41,24,,22.55,24.53,22.77,23.2,,27.49,,,,20.03,,,25.72,,,,,,,,,Jan-82
1982m02,21.28,,,24.98,23.7,,20.7,25.96,23,22.91,,29.51,,,,19.43,,,25.58,,,,,,,,,Feb-82
1982m03,19.08,,,24.58,23.87,,19.1,27.55,22.36,22.67,,29.72,,,,18.35,,,25.64,,,,,,,,,Mar-82
1982m04,18.91,,,25.57,23.87,,17.7,26.95,22.57,21.99,,29.65,,,,18.37,,,25.25,,,,,,,,,Apr-82
1982m05,18.81,,,26.19,23.95,,18.27,26.55,22.51,21.2,,29.52,,,,18.67,,,25.21,,,,,,,,,May-82
1982m06,20.12,,,27.34,24.51,,19.6,26.15,22.49,22.96,,29.44,,,,20.29,,,25.6,,,,,,,,,Jun-82
1982m07,20.78,,,27.28,25.06,,20.11,26.28,22.45,20.25,,30.1,,,,20.65,,,25.69,,,,,,,,,Jul-82
1982m08,20.9,,,27.25,26.12,,20.52,25.78,22.58,21.21,,30.31,,,,21.01,,,26.32,,,,,,,,,Aug-82
1982m09,22,,,28.03,26.96,,21.9,25.78,23.19,21.53,,30.26,,,,21.49,,,27.55,,,,,,,,,Sep-82
1982m10,23.64,,,28.37,27.69,,22.92,26.21,23.67,22.99,,30.57,,,,22.1,,,28.64,,,,,,,,,Oct-82
1982m11,25.04,,,28.78,27.93,,24.4,26.34,23.56,23.97,,30.4,,,,22.33,,,29.21,,,,,,,,,Nov-82
1982m12,24.72,,,29,28.13,,24.41,25.99,21.62,24.73,,30.83,,,,22.15,,,29.07,,,,,,,,,Dec-82
1983m01,24.18,,,29.18,27.28,,24.82,23.18,21,24.88,,32.23,,,,22.16,,,28.76,,,,,,,,,Jan-83
1983m02,24.14,,,29.15,27.14,,23.26,22.76,21.09,24.96,,32.95,,,,22.41,,,28.55,,,,,,,,,Feb-83
1983m03,22.39,,,29.19,27.26,,20.98,24.99,20.81,24.13,,32.82,,,,22.55,,,28.37,,,,,,,,,Mar-83
1983m04,21.37,,,28.56,26.86,,19.27,25.05,20.89,22.71,,33.05,,,,22.09,,,27.52,,,,,,,,,Apr-83
1983m05,21.49,,,28.18,26.65,,19.13,25.07,20.77,20.87,,33.23,,,,22.46,,,27.24,,,,,,,,,May-83
1983m06,21.22,,,27.76,26.43,,20.35,25.79,20.48,21.56,,33.45,,,,22.14,,,27.03,,,,,,,,,Jun-83
1983m07,21.21,,,27.4,26.78,,20.48,26.09,20.26,21.68,,33.18,,,,21.94,,,26.76,,,,,,,,,Jul-83
1983m08,21.67,,,27.31,27.42,,20.99,25.58,20.61,22.04,,33.09,,,,22.09,,,27.02,,,,,,,,,Aug-83
1983m09,22.51,,,27.29,28.49,,22.48,24.61,21.06,23.32,,32.56,,,,22.97,,,28.45,,,,,,,,,Sep-83
1983m10,24.31,,,28.95,29.34,,23.59,24.74,21.72,24.49,,32.44,,,,23.42,,,29.53,,,,,,,,,Oct-83
1983m11,25.8,,,29.29,29.4,,24.99,24.86,22.3,25.33,,32.52,,,,23.34,,,29.62,,,,,,,,,Nov-83
1983m12,25.44,,,29.22,30.2,,24.85,24.83,22.44,26.3,,32.48,,,,23.11,,,29.72,,,,,,,,,Dec-83
1984m01,23.88,,,29.11,27.95,,25.14,24.49,22.99,25.24,,32.65,,,,22.55,,,29.06,,,,,,,,,Jan-84
1984m02,23.7,,,28.82,27.63,,23.22,23.83,22.97,25.09,,32.63,,,,22.57,,,28.66,,,,,,,,,Feb-84
