,Area Code,Area,Year,Item Code,Item,Domestic supply quantity (1000 tonnes),Export Quantity (1000 tonnes),Fat supply quantity (g/capita/day),Feed (1000 tonnes),Food (1000 tonnes),Food supply (kcal/capita/day),Food supply quantity (kg/capita/yr),Import Quantity (1000 tonnes),Other uses (non-food) (1000 tonnes),Production (1000 tonnes),Protein supply quantity (g/capita/day),Seed (1000 tonnes),Stock Variation (1000 tonnes)
7232,104,Ireland,2010,2761,Freshwater Fish,5.55,19.96,0.1,0.0,5.3,2.0,1.19,8.54,0.25,16.97,0.36,0.0,-0.0
7233,104,Ireland,2010,2762,Demersal Fish,67.67,108.02,0.33,25.78,41.89,11.0,9.38,54.99,0.0,120.69,1.84,0.0,-0.0
7234,104,Ireland,2010,2763,Pelagic Fish,98.66,103.86,1.04,63.57,35.09,21.0,7.85,35.85,0.0,166.68,2.74,0.0,-0.0
7235,104,Ireland,2010,2764,"Marine Fish, Other",0.16,0.0,0.0,0.0,0.16,0.0,0.04,0.0,0.0,0.16,0.01,0.0,0.0
7236,104,Ireland,2010,2765,Crustaceans,14.06,15.02,0.03,0.0,14.06,3.0,3.15,11.58,0.0,17.5,0.62,0.0,-0.0
7237,104,Ireland,2010,2766,Cephalopods,0.22,0.38,0.0,0.0,0.22,0.0,0.05,0.39,0.0,0.21,0.02,0.0,-0.0
7238,104,Ireland,2010,2767,"Molluscs, Other",5.71,39.71,0.01,0.0,5.71,1.0,1.28,2.21,0.0,43.21,0.1,0.0,-0.0
7239,104,Ireland,2010,2769,"Aquatic Animals, Others",0.07,0.04,0.0,0.0,0.07,0.0,0.02,0.11,0.0,0.0,0.0,0.0,0.0
7240,104,Ireland,2010,2775,Aquatic Plants,19.66,24.41,0.0,0.0,0.0,0.0,0.0,14.56,19.66,29.5,0.0,0.0,-0.0
7241,104,Ireland,2010,2781,"Fish, Body Oil",4.5,0.0,0.0,4.5,0.0,0.0,0.0,0.2,0.0,4.3,0.0,0.0,0.0
7242,104,Ireland,2010,2782,"Fish, Liver Oil",0.07,0.01,0.04,0.0,0.07,0.0,0.02,0.08,0.0,0.0,0.0,0.0,0.0
7243,104,Ireland,2011,2761,Freshwater Fish,7.57,15.92,0.17,0.0,7.43,4.0,1.64,9.93,0.14,13.56,0.51,0.0,-0.0
7244,104,Ireland,2011,2762,Demersal Fish,35.96,40.72,0.44,0.0,35.96,11.0,7.95,29.92,0.0,46.76,1.67,0.0,-0.0
7245,104,Ireland,2011,2763,Pelagic Fish,44.69,115.57,1.09,8.66,36.02,22.0,7.96,20.38,0.0,140.87,2.8,0.0,1.0
7246,104,Ireland,2011,2764,"Marine Fish, Other",0.16,0.0,0.0,0.0,0.16,0.0,0.04,0.0,0.0,0.16,0.01,0.0,0.0
7247,104,Ireland,2011,2765,Crustaceans,12.59,14.92,0.03,0.0,12.59,3.0,2.78,11.44,0.0,16.07,0.62,0.0,-0.0
7248,104,Ireland,2011,2766,Cephalopods,0.25,0.45,0.0,0.0,0.25,0.0,0.05,0.4,0.0,0.3,0.04,0.0,-0.0
7249,104,Ireland,2011,2767,"Molluscs, Other",2.84,40.77,0.01,0.0,2.84,0.0,0.63,3.13,0.0,40.49,0.06,0.0,-0.0
7250,104,Ireland,2011,2769,"Aquatic Animals, Others",0.06,0.07,0.0,0.0,0.06,0.0,0.01,0.13,0.0,0.0,0.0,0.0,0.0
7251,104,Ireland,2011,2775,Aquatic Plants,44.29,28.82,0.0,0.0,0.0,0.0,0.0,43.61,44.29,29.5,0.0,0.0,0.0
7252,104,Ireland,2011,2781,"Fish, Body Oil",3.62,1.09,0.0,3.62,0.0,0.0,0.0,0.11,0.0,4.6,0.0,0.0,0.0
7253,104,Ireland,2011,2782,"Fish, Liver Oil",0.27,0.0,0.16,0.0,0.27,1.0,0.06,0.27,0.0,0.0,0.0,0.0,0.0
7254,104,Ireland,2012,2761,Freshwater Fish,6.44,19.13,0.14,0.0,6.34,3.0,1.39,12.19,0.1,13.38,0.43,0.0,-0.0
7255,104,Ireland,2012,2762,Demersal Fish,37.49,136.77,0.57,0.0,37.49,13.0,8.19,80.64,0.0,93.62,1.83,0.0,-0.0
7256,104,Ireland,2012,2763,Pelagic Fish,37.01,135.92,0.99,6.54,30.46,19.0,6.66,24.06,0.0,150.87,2.34,0.0,2.0
7257,104,Ireland,2012,2764,"Marine Fish, Other",0.08,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.0,0.08,0.0,0.0,0.0
7258,104,Ireland,2012,2765,Crustaceans,10.45,19.13,0.03,0.0,10.45,2.0,2.28,11.24,0.0,18.34,0.5,0.0,0.0
7259,104,Ireland,2012,2766,Cephalopods,0.5,0.22,0.0,0.0,0.5,0.0,0.11,0.38,0.0,0.34,0.04,0.0,0.0
7260,104,Ireland,2012,2767,"Molluscs, Other",9.97,28.32,0.01,0.0,9.97,1.0,2.18,3.35,0.0,34.94,0.15,0.0,-0.0
7261,104,Ireland,2012,2769,"Aquatic Animals, Others",0.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.46,0.0,0.0,0.0
7262,104,Ireland,2012,2775,Aquatic Plants,27.06,32.41,0.0,0.0,0.0,0.0,0.0,29.96,27.06,29.51,0.0,0.0,-0.0
7263,104,Ireland,2012,2781,"Fish, Body Oil",0.49,5.91,0.0,0.49,0.0,0.0,0.0,0.21,0.0,6.2,0.0,0.0,-0.0
7264,104,Ireland,2012,2782,"Fish, Liver Oil",0.19,0.0,0.11,0.0,0.19,1.0,0.04,0.19,0.0,0.0,0.0,0.0,0.0
7265,104,Ireland,2013,2761,Freshwater Fish,8.43,12.95,0.19,0.0,8.36,4.0,1.81,11.15,0.07,10.22,0.58,0.0,-0.0
7266,104,Ireland,2013,2762,Demersal Fish,40.53,101.37,0.55,0.0,40.53,13.0,8.76,46.89,0.0,95.0,1.9,0.0,-0.0
7267,104,Ireland,2013,2763,Pelagic Fish,30.95,111.28,0.99,0.5,30.46,19.0,6.58,23.54,0.0,123.69,2.31,0.0,5.0
7268,104,Ireland,2013,2764,"Marine Fish, Other",0.23,0.0,0.0,0.0,0.23,0.0,0.05,0.0,0.0,0.23,0.01,0.0,0.0
7269,104,Ireland,2013,2765,Crustaceans,7.79,19.19,0.02,0.0,7.79,2.0,1.68,10.95,0.0,16.04,0.41,0.0,-0.0
7270,104,Ireland,2013,2766,Cephalopods,0.45,0.14,0.0,0.0,0.45,0.0,0.1,0.26,0.0,0.32,0.04,0.0,-0.0
7271,104,Ireland,2013,2767,"Molluscs, Other",7.77,29.74,0.01,0.0,7.77,1.0,1.68,2.66,0.0,34.85,0.12,0.0,-0.0
7272,104,Ireland,2013,2769,"Aquatic Animals, Others",0.02,0.23,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.24,0.0,0.0,-0.0
7273,104,Ireland,2013,2775,Aquatic Plants,26.52,38.24,0.0,0.0,0.0,0.0,0.0,35.22,26.52,29.54,0.0,0.0,-0.0
7274,104,Ireland,2013,2781,"Fish, Body Oil",0.68,7.12,0.0,0.68,0.0,0.0,0.0,0.29,0.0,7.5,0.0,0.0,-0.0
7275,104,Ireland,2013,2782,"Fish, Liver Oil",0.08,0.01,0.05,0.0,0.08,0.0,0.02,0.1,0.0,0.0,0.0,0.0,-0.0
7276,104,Ireland,2014,2761,Freshwater Fish,8.99,15.02,0.19,0.0,8.92,4.0,1.93,13.68,0.08,10.33,0.6,0.0,-0.0
7277,104,Ireland,2014,2762,Demersal Fish,41.55,61.37,0.68,0.0,41.55,15.0,8.98,36.61,0.0,83.95,2.05,0.0,17.64
7278,104,Ireland,2014,2763,Pelagic Fish,39.33,169.32,1.24,3.14,36.19,23.0,7.82,36.05,0.0,165.6,2.73,0.0,-7.0
7279,104,Ireland,2014,2764,"Marine Fish, Other",0.2,0.0,0.0,0.0,0.2,0.0,0.04,0.0,0.0,0.2,0.01,0.0,0.0
7280,104,Ireland,2014,2765,Crustaceans,6.9,23.2,0.02,0.0,6.9,2.0,1.49,13.77,0.0,18.32,0.41,0.0,2.0
