,Tweets
0,"Five more ports to open in the Republic of Ireland for international fishing vessels to land their catch - seems Ireland's fishing industry may get some benefit at least.
#Ireland https://t.co/uDx9eliPPD"
1,"Five more ports in the Rep of Ireland to open for Northern Irish boats 

A spokesman for the NI fishing industry described “a step in the right direction”  that five more ports in the Republic are to open to international fishing vessels
https://t.co/MYM141Dh0i"
2,"Asset Finance in Ireland. See our review post: https://t.co/W2ZTKIcXFT
#assetfinance #machinery #equipment #vehicles #businessfunding #irishbusiness #irishbiz #agribusiness #farm #farmer #tractor #construction #irishconstruction https://t.co/8GiBUVuLPg"
3,Coming up @NewstalkFM - During the week we were seeing empty shopping shelves in Northern Ireland due to processing issues with customs post-Brexit but how are we fixed here in the south? @LorcanAllen Agribusiness Editor @farmersjournal joins me next! #BobbyMeansBiz https://t.co/dXcpFtUF8q
4,"Domestic Milk Intake up by 8.9% in November 2020

https://t.co/j3ccbveRIJ 

#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Livestock #Cattle #MilkStatistics #MilkProduction #Dairy #Milk https://t.co/7MQd93lcKC"
5,"Agricultural input price index down 1.4% in the year to November 2020
https://t.co/GwqFaZA12U 
#CSOIreland #Ireland #Agriculture #Agribusiness #Farming #Prices #AgPrices #Tillage #Crops #Agronomy #CensusofAgriculture https://t.co/U1XHjheg7Q"
6,@HelenTh45011085 @RosslareHbr Are they?? 🤔 They might be coming from Moy Park in Northern Ireland? https://t.co/vzTd4aNDRf
7,Brexit problems hit Irish deliveries from food distribution hubs in Britain https://t.co/H5cHvvNUul #Brexit #Ireland #deliveries #fooddistribution
8,"@dgpearce1000 @PascalDesmond1 @AsBrexit @blacksmithslane @ITVJoel It's not just about VAT. Because of the rules of origin agreement that MPs waved through last minute, without understanding, such packaging doesn't mean the products were made in the UK and then import duty is attracted on entry to Ireland.

https://t.co/SGSCRnWVvv"
9,"""Much of the flour imported to Ireland from the UK is also now subject to tariffs of up to 50 per cent, due to the presence in it of Canadian wheat.""

https://t.co/jWZSmq0kz7"
10,"Ireland is becoming a victim of the established practice of paying UK middlemen to drive EU food from rEU to Ireland.

“Meanwhile, much of the flour imported from the UK is now subject to tariffs of up to 50%, due to the presence in it of Canadian wheat.”

https://t.co/TvIpFiO8yx"
11,"DAY 6 IN BREXIT BRITAIN...

And already Johnson’s “Zero tariffs” promise has been exposed

“Much of the flour imported to Ireland from the UK is also now subject to tariffs of up to 50%, due to the presence in it of Canadian wheat”

https://t.co/s23x3WS4Eo"
12,@theglamityjane https://t.co/XaWG4OIeQT
13,Does your #business need #growth #funding? Call us today on 01 55 636 55 for #fast #finance #quotes https://t.co/iSzMUgDZwR #irishbusiness #sme #ireland #businessfunding #brexitready #covid19ireland
14,Enterprise Ireland-backed @SkelligSix18 is developing a €10m micro-distillery and visitor centre along the Ring of Kerry. Learn more: https://t.co/qzNqOqDCVs #GlobalAmbition https://t.co/qWlhTAnWTl
15,"@kirstenoswald @Ianblackford_MP ""an empty seat at the top table in Europe""

Like Ireland? 😳

https://t.co/7Ggwz9tR7n"
16,"More colonisation of Irish companies. Profits all sucked out of Ireland. Like absentee landlords. Living it up at our expense.

https://t.co/J3NdPcHZDz"
17,"@Hedd_Wyn_John @ShoesRudi @DavidHenigUK Only if they are intelligent, competent, respected and popular.
That is how Ireland made a deal with China.
https://t.co/ATXiuDlxMA"
18,"Many agribusiness companies are now taking proactive measures to reduce their carbon footprint through the use of renewable energy. 
https://t.co/EIphx9ZoHw"
19,"29\ Ireland recommends staycations. Former Irish tourism head caught on lavish holiday romp

https://t.co/TCSxMgQKxY"
